ID, DATE, LATITUDE, LONGITUDE, ADTITUDE [m], TEMPERATURE [*C], HUMIDITY [%], PRESSURE [hPa], MQ7 [ppm], MQ7 DETECT, PM 1.0 [ug/m^3], PM 2.5 [ug/m^3], PM 10 [ug/m^3]
104 ,Sun Nov 01 2020 16:50:53 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,22.7 ,51.8 ,9.95 ,170 ,1 ,12 ,15 ,15
105 ,Sun Nov 01 2020 16:51:03 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,22.7 ,51.8 ,9.95 ,170 ,1 ,12 ,15 ,15
106 ,Sun Nov 01 2020 16:51:06 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,22.8 ,51.9 ,9.95 ,170 ,1 ,12 ,15 ,15
107 ,Sun Nov 01 2020 16:51:16 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,22.8 ,51.7 ,9.95 ,170 ,1 ,12 ,15 ,15
108 ,Sun Nov 01 2020 16:51:18 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,22.8 ,51.9 ,9.95 ,170 ,1 ,12 ,15 ,15
109 ,Sun Nov 01 2020 16:51:27 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,22.8 ,51.9 ,9.95 ,169 ,1 ,12 ,15 ,15
110 ,Sun Nov 01 2020 16:51:29 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,22.8 ,51.9 ,9.95 ,171 ,1 ,12 ,15 ,15
111 ,Sun Nov 01 2020 16:51:31 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,22.7 ,51.8 ,9.95 ,171 ,1 ,12 ,15 ,15
112 ,Sun Nov 01 2020 16:51:32 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,22.7 ,51.8 ,9.95 ,171 ,1 ,12 ,15 ,15
113 ,Sun Nov 01 2020 16:51:39 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,22.8 ,51.9 ,9.95 ,170 ,1 ,12 ,15 ,15
114 ,Sun Nov 01 2020 16:51:41 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,22.8 ,51.9 ,9.95 ,170 ,1 ,12 ,15 ,15
115 ,Sun Nov 01 2020 16:51:43 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,22.8 ,51.7 ,9.95 ,171 ,1 ,12 ,15 ,15
116 ,Sun Nov 01 2020 16:51:53 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,22.7 ,51.8 ,9.95 ,170 ,1 ,12 ,15 ,15
117 ,Sun Nov 01 2020 16:51:56 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,22.7 ,51.8 ,9.95 ,170 ,1 ,12 ,15 ,15
118 ,Sun Nov 01 2020 16:51:58 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,22.7 ,51.8 ,9.95 ,169 ,1 ,12 ,15 ,15
119 ,Sun Nov 01 2020 16:52:08 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,22.7 ,51.8 ,9.95 ,171 ,1 ,12 ,15 ,15
120 ,Sun Nov 01 2020 16:52:10 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,22.8 ,51.9 ,9.95 ,171 ,1 ,12 ,15 ,15
121 ,Sun Nov 01 2020 16:52:13 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,22.7 ,51.8 ,9.95 ,170 ,1 ,12 ,15 ,15
122 ,Sun Nov 01 2020 16:52:21 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,22.7 ,51.8 ,9.95 ,169 ,1 ,12 ,15 ,15
123 ,Sun Nov 01 2020 16:52:23 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,22.7 ,51.8 ,9.95 ,170 ,1 ,12 ,15 ,15
124 ,Sun Nov 01 2020 16:52:24 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,22.7 ,51.8 ,9.95 ,170 ,1 ,12 ,15 ,15
125 ,Sun Nov 01 2020 16:52:26 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,22.8 ,51.9 ,9.95 ,170 ,1 ,12 ,15 ,15
126 ,Sun Nov 01 2020 16:52:36 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,22.7 ,51.9 ,9.95 ,170 ,1 ,12 ,15 ,15
127 ,Sun Nov 01 2020 16:52:38 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,22.7 ,51.9 ,9.95 ,171 ,1 ,12 ,15 ,15
128 ,Sun Nov 01 2020 16:52:40 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,22.8 ,51.9 ,9.95 ,169 ,1 ,12 ,15 ,15
129 ,Sun Nov 01 2020 17:07:57 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,0 ,2 ,995.67 ,175 ,1 ,9 ,9 ,15
130 ,Sun Nov 01 2020 17:07:59 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,0 ,2 ,995.67 ,176 ,1 ,9 ,9 ,15
131 ,Sun Nov 01 2020 17:08:01 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,0 ,2 ,995.7 ,177 ,1 ,9 ,9 ,15
132 ,Sun Nov 01 2020 17:08:04 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,0 ,2 ,995.68 ,176 ,1 ,9 ,9 ,15
133 ,Sun Nov 01 2020 17:08:19 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,0 ,2 ,995.64 ,177 ,1 ,11 ,12 ,15
134 ,Sun Nov 01 2020 17:08:20 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,0 ,2 ,995.64 ,177 ,1 ,11 ,12 ,15
135 ,Sun Nov 01 2020 17:08:22 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,0 ,2 ,995.66 ,175 ,1 ,11 ,12 ,15
136 ,Sun Nov 01 2020 17:08:24 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,0 ,2 ,995.66 ,177 ,1 ,11 ,12 ,15
137 ,Sun Nov 01 2020 17:08:26 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,0 ,2 ,995.64 ,178 ,1 ,11 ,12 ,15
138 ,Sun Nov 01 2020 17:08:28 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,0 ,2 ,995.69 ,176 ,1 ,11 ,12 ,15
139 ,Sun Nov 01 2020 17:08:29 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,0 ,2 ,995.69 ,176 ,1 ,11 ,12 ,15
140 ,Sun Nov 01 2020 17:08:39 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,0 ,2 ,995.68 ,177 ,1 ,11 ,12 ,15
141 ,Sun Nov 01 2020 17:08:42 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,0 ,2 ,995.67 ,175 ,1 ,11 ,12 ,15
142 ,Sun Nov 01 2020 17:08:44 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,0 ,2 ,995.69 ,178 ,1 ,11 ,12 ,15
143 ,Sun Nov 01 2020 17:08:46 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,0 ,2 ,995.72 ,176 ,1 ,11 ,12 ,15
144 ,Sun Nov 01 2020 17:09:01 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,0 ,2 ,995.63 ,176 ,1 ,11 ,12 ,15
145 ,Sun Nov 01 2020 17:09:02 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,0 ,2 ,995.63 ,176 ,1 ,11 ,12 ,15
146 ,Sun Nov 01 2020 17:09:04 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,0 ,2 ,995.67 ,177 ,1 ,11 ,12 ,15
147 ,Sun Nov 01 2020 17:09:06 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,0 ,2 ,995.67 ,176 ,1 ,11 ,12 ,15
148 ,Sun Nov 01 2020 17:09:08 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,0 ,2 ,995.67 ,176 ,1 ,11 ,12 ,15
149 ,Sun Nov 01 2020 17:09:16 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,0 ,2 ,995.63 ,177 ,1 ,11 ,12 ,15
